key,groups
villager,fodder small climber
villager_range,fodder small climber
zealot,fodder small climber
zealot_shield,fodder small climber
zealot_range,fodder small climber
zealot_red,fodder small strongminiboss toxic
soldier,fodder small climber
soldier_range,fodder small climber
soldier_shield,fodder small climber
colmillos,small ashleyunsafe dog
super-colmillos,fodder small strongminiboss toxic ashleyunsafe dog
novistador,fodder small
arana,fodder climber
brute,elite small strongminiboss climber
brute_hammer,elite small strongminiboss climber
brute_jj,elite small strongminiboss climber
brute_range,elite small strongminiboss climber
brute_weapon,elite small strongminiboss climber
armadura,fodder small strongminiboss
gold-armadura,fodder small strongminiboss
chainsaw,elite small strongminiboss climber
chainsaw_mad,boss small strongminiboss toxic climber
garrador,elite strongminiboss toxic ashleyunsafe big
regenerador,elite small strongminiboss
iron_maiden,elite small strongminiboss
super_iron_maiden,boss small strongminiboss toxic ashleyunsafe
mendez_chase,invincible
verdugo,boss strongminiboss toxic big
mendez_2,boss strongminiboss toxic ashleyunsafe big
krauser_1,boss small strongminiboss toxic
krauser_2,boss strongminiboss toxic ashleyunsafe
pesanta,boss strongminiboss toxic big
u3,boss strongminiboss toxic big
sadler_human,boss strongminiboss big
cow,small animal
pig,small animal
