Name,Operation,Guid,Chapter,Stage,X,Y,Z,Pitch,Yaw,Roll,Radius,ItemId,Notes,,,,,,,,,,,,,,
test,trigger,8ed7647d-96c5-4261-8597-91f8dfc54c0c,1,,,,,,,,,,,,,,,,,,,,,,,,
CP1_PathHuntingCabinGimmicks.0,trigger,8ed7647d-96c5-4261-8597-91f8dfc54c0c,1,,,,,, ,,,,,,,,,,,,,,,,,,
CP1_PathHuntingCabinGimmicks.1,trigger,8ed7647d-96c5-4261-8597-91f8dfc54c0c,1,,,,,, ,,,,,,,,,,,,,,,,,,
CP1_PathHuntingCabinGimmicks.2,trigger,8ed7647d-96c5-4261-8597-91f8dfc54c0c,1,,,,,, ,,,,,,,,,,,,,,,,,,
CP1_PathHuntingCabinGimmicks.3,trigger,8ed7647d-96c5-4261-8597-91f8dfc54c0c,1,,,,,, ,,,,,,,,,,,,,,,,,,
CP1_PathHuntingCabinGimmicks.4,trigger,8ed7647d-96c5-4261-8597-91f8dfc54c0c,1,,,,,, ,,,,,,,,,,,,,,,,,,
CP1_PathHuntingCabinGimmicks.5,trigger,8ed7647d-96c5-4261-8597-91f8dfc54c0c,1,,,,,, ,,,,,,,,,,,,,,,,,,
CP1_PathHuntingCabinGimmicks.6,trigger,8ed7647d-96c5-4261-8597-91f8dfc54c0c,1,,,,,,,,,,,,,,,,,,,,,,,,
CP1_PathHuntingCabinGimmicks.7,trigger,8ed7647d-96c5-4261-8597-91f8dfc54c0c,1,,,,,,,,,,,,,,,,,,,,,,,,
CP1_HuntingCabinGimmicks.0,trigger,,1,,-198.14,10.03,85.34,, ,,2,,,,,,,,,,,,,,,,
CP1_HuntingCabinGimmicks.1,trigger,,1,,-198.14,10.03,85.34,, ,,2,,,,,,,,,,,,,,,,
CP1_HuntingCabinGimmicks.2,trigger,,1,,-198.14,10.03,85.34,, ,,2,,,,,,,,,,,,,,,,
CP1_HuntingCabinGimmicks.3,trigger,,1,,-198.14,10.03,85.34,, ,,2,,,,,,,,,,,,,,,,
CP1_HuntingCabinGimmicks.4,trigger,,1,,-198.14,10.03,85.34,, ,,2,,,,,,,,,,,,,,,,
CP1_HuntingCabinGimmicks.5,trigger,,1,,-198.14,10.03,85.34,, ,,2,,,,,,,,,,,,,,,,
CP1_HuntingCabinGimmicks.6,trigger,,1,,-198.14,10.03,85.34,, ,,2,,,,,,,,,,,,,,,,
CP1_HuntingCabinGimmicks.7,trigger,,1,,-198.14,10.03,85.34,, ,,2,,,,,,,,,,,,,,,,
CP1_hunting.kitchen,trigger,,1,,-180.6,10,80.2,,,,2,,,,,,,,,,,,,,,,
CP1_hunting.basement,trigger,e41e673a-5a00-44dc-9442-412b52582682,1,,,,,,,,,,After find dead policeman cutscene in basement,,,,,,,,,,,,,,
CP1_hunting.basement,trigger,,1,,-174.1,8.1,80.5,,,,2,,,,,,,,,,,,,,,,
CP1_hunting.basement,lockdoor,12d2cba7-98ba-41fd-b30f-5afc88415e9a,,,,,,,,,,,,,,,,,,,,,,,,,
CP1_hunting.stairs,trigger,acb7cffc-9bca-4275-96a7-21655497d44e,1,,,,,,,,,,,,,,,,,,,,,,,,
CP1_hunting.stairs,trigger,,1,,-193.3,10,70.2,,,,1,,Going through the opened wall towards the exit stairs,,,,,,,,,,,,,,
CP1_hunting.porchkey,remove,7d9da1e7-91d5-409d-8086-ff23375c1b87,,,,,,,,,,,,,,,,,,,,,,,,,
CP1_hunting.porchkey,trigger,,1,,-180.4,10,84,,,,1,,,,,,,,,,,,,,,,
CP1_hunting.porchkey,lockdoor,51fa2073-9353-4025-81f4-c1a2fff8bd23,,,,,,,,,,,,,,,,,,,,,,,,,
CP1_hunting.porchkey,removekey,d6876afa-1b5b-4444-a674-c4fa3b420db4,1,,,,,,,,,,,,,,,,,,,,,,,,
CP1_hunting.porchkey,givekey,,1,,,,,,,,,119281600,Give the key to guardian enemy,,,,,,,,,,,,,,
CP1_hunting.multi|porch,trigger,,1,,-209.2,8.9,79.6,,,,3,,After Crawlspace,,,,,,,,,,,,,,
CP1_hunting.multi|porch,lockdoor,7d9da1e7-91d5-409d-8086-ff23375c1b87,,,,,,,,,,,,,,,,,,,,,,,,,
CP1_hunting.multi|keyguard,trigger,,1,,-180.4,10,84,,,,1,,After first enemy cutscene,,,,,,,,,,,,,,
CP1_hunting.multi|keyguard,lockdoor,52a06f96-fac4-450f-a915-aa99bc282a39,1,,,,,,,,,,,,,,,,,,,,,,,,
CP1_hunting.multi|keyguard,removekey,d6876afa-1b5b-4444-a674-c4fa3b420db4,1,,,,,,,,,,Remove hunter's lodge key,,,,,,,,,,,,,,
CP1_hunting.multi|keyguard,givekey,,1,,,,,,,,,119281600,Give the key to guardian enemy,,,,,,,,,,,,,,
CP1_PathtovillageVariation.0|Blockage,trigger,,1,,-179.08,13.47,67.45,,,,2,,,,,,,,,,,,,,,,
CP1_PathtovillageVariation.0|enemyspawns,trigger,,1,,-116.4,6.1,39.9,,,,3,,,,,,,,,,,,,,,,
CP1_PathtovillageVariation.1,trigger,,1,,-179.08,13.47,67.45,,,,2,,,,,,,,,,,,,,,,
CP1_PathtovillageVariation.2,trigger,,1,,-179.08,13.47,67.45,,,,2,,,,,,,,,,,,,,,,
CP1_PathtovillageVariation.3,trigger,,1,,-179.08,13.47,67.45,,,,2,,,,,,,,,,,,,,,,
CP1_PathtovillageGimmicks.0,trigger,,1,,-179.08,13.47,67.45,,,,2,,,,,,,,,,,,,,,,
CP1_PathtovillageGimmicks.1,trigger,,1,,-179.08,13.47,67.45,,,,2,,,,,,,,,,,,,,,,
CP1_PathtovillageGimmicks.2,trigger,,1,,-179.08,13.47,67.45,,,,2,,,,,,,,,,,,,,,,
CP1_PathtovillageGimmicks.3,trigger,,1,,-179.08,13.47,67.45,,,,2,,,,,,,,,,,,,,,,
CP1_PathtovillageGimmicks.4,trigger,,1,,-179.08,13.47,67.45,,,,2,,,,,,,,,,,,,,,,
