Campaign,Chapter,Guid,Kind,Stage,X,Y,Z,Pitch,Yaw,Roll,Condition,Events,Tags,Param1
Leon,,,bawk,40501,-257.00,5.00,28.00,0.00,0.00,0.00,,,,
Leon,,,bawk,40501,-255.00,5.00,32.00,0.00,0.00,0.00,,,,
Leon,,,bawk,40501,-256.00,5.00,34.00,0.00,0.00,0.00,,,,
Leon,,,bawk,40501,-255.00,6.00,38.00,0.00,0.00,0.00,,,,
Leon,,,bawk,40501,-252.00,6.00,43.00,0.00,0.00,0.00,,,,
Leon,,,bawk,40501,-249.00,6.00,45.00,0.00,0.00,0.00,,,,
Leon,,,bawk,40501,-250.00,6.00,46.00,0.00,0.00,0.00,,,,
Leon,,,bawk,40501,-253.00,6.00,48.00,0.00,0.00,0.00,,,,
Leon,,,bawk,40501,-257.00,6.00,49.00,0.00,0.00,0.00,,,,
Leon,,,bawk,40501,-257.00,6.00,51.00,0.00,0.00,0.00,,,,
Leon,,,bawk,40501,-255.00,6.00,51.00,0.00,0.00,0.00,,,,
Leon,,,bawk,40501,-253.00,6.00,51.00,0.00,0.00,0.00,,,,
Leon,,,bawk,40501,-251.00,6.00,50.00,0.00,0.00,0.00,,,,
Leon,,,bawk,40501,-248.00,6.00,49.00,0.00,0.00,0.00,,,,
Leon,,,bawk,40501,-250.00,6.00,48.00,0.00,0.00,0.00,,,,
Leon,,,bawk,40501,-252.00,6.00,53.00,0.00,0.00,0.00,,,,
Leon,,,bawk,40501,-250.00,6.00,55.00,0.00,0.00,0.00,,,,
Leon,,,bawk,40501,-245.00,6.00,52.00,0.00,0.00,0.00,,,,
Leon,1,,Biorand_MerchantTorch,40505,-53.23,-0.01,18.12,0,13,0,,,,
Leon,1,,Biorand_Merchant,40505,-55,0.2,18.6,0,3,0,,,,
Leon,,,Biorand_MerchantTorch,40500,-259.40,5.90,17.10,0.00,0.00,0.00,,,,
Leon,,,Biorand_Merchant,40500,-257.20,5.80,14.60,0.00,0.00,0.00,,,,
Leon,,,# Biorand_ExplosionWoodenBoxFake,40500,-257.20,5.80,15.30,0.00,0.00,0.00,,,,
Leon,,,# Biorand_ExplosionWoodenBoxFake,40500,-257.20,5.80,15.30,0.00,0.00,0.00,,,,
Leon,,,Biorand_WoodenBox,40501,-191.70,9.70,91.10,0.00,0.00,0.00,,,,
Leon,,,Biorand_WoodenBarrel,40502,-199.90,9.70,74.70,0.00,0.00,0.00,,,,
Leon,,,Biorand_TableDrawer,40502,-179.90,9.70,58.50,0.00,44.03,0.00,,,,
Leon,,,Biorand_Typewriter,40502,-180.14,10.63,58.75,0.00,44.60,0.00,,,,
Leon,,,Biorand_Tripwire,45410,111.81,-2.97,45.23,0.00,47.10,0.00,,,,
Leon,1,,Biorand_MerchantTorch,40200,27.40,2.10,-28.70,0.00,0.00,0.00,03383ad9-2e0e-41f1-8b76-89c07b44fd47,,,
Leon,1,,Biorand_Merchant,40200,23.10,2.20,-31.10,0.00,104.00,0.00,03383ad9-2e0e-41f1-8b76-89c07b44fd47,,,
Leon,5,,Biorand_MerchantTorch,45200,111.50,10.34,111.30,0.00,0.00,0.00,,,,
Leon,5,,Biorand_Merchant,45200,114.20,10.27,111.84,0.00,-64.30,0.00,,,,
Leon,,,Biorand_Tripwire,50200,-298.11,-0.15,65.26,0.00,0.00,0.00,,,,
Leon,,,Biorand_WoodenBox,50300,-249.30,-1.00,48.00,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,40501,-237.67,6.41,62.78,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,40510,-191.57,10.01,66.97,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,40504,-133.92,7.49,55.86,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,40504,-124.60,7.27,49.08,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,40504,-117.15,7.40,51.12,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,40504,-119.46,6.59,32.36,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,40504,-99.62,3.91,26.04,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,40530,-106.75,7.20,52.78,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,40505,-74.12,3.74,24.11,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,40505,-66.71,2.84,21.53,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,40200,-33.03,0.03,3.70,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,40210,-6.42,0.08,-11.76,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,40200,0.23,0.05,-12.94,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,40200,-1.60,0.11,17.92,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,40200,16.38,0.86,11.21,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,40200,-5.24,-0.08,8.81,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,40200,2.20,0.80,17.80,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,40200,13.10,0.90,19.95,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,40200,14.14,0.84,15.23,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,40200,15.98,0.04,3.81,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,40211,6.20,0.89,6.55,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,40210,6.34,3.20,-18.76,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,40210,9.50,3.30,-18.40,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,40200,30.70,2.30,-25.80,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,40200,30.01,2.29,-26.29,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,40200,16.60,0.18,-13.18,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,43300,50.40,2.33,-49.46,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,43300,39.76,2.80,-58.23,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,43300,44.03,2.88,-61.24,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,43300,35.60,2.70,-66.40,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,43300,36.17,2.77,-65.16,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,43300,28.34,3.08,-67.95,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,43300,44.46,2.68,-67.90,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,43300,41.18,2.98,-79.58,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,43300,67.77,3.24,-80.67,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,43300,67.01,3.24,-80.97,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,43310,58.82,3.24,-89.21,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,43310,65.72,3.22,-91.77,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,43310,60.46,6.69,-86.29,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,43310,67.29,3.41,-69.99,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,43310,63.68,3.41,-73.78,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,43310,61.25,3.35,-73.05,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,43310,62.46,6.82,-72.13,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,43310,69.96,6.82,-75.52,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,43301,52.24,3.23,-108.59,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,43301,52.56,3.77,-129.70,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,43301,41.13,4.06,-148.72,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,43311,54.05,5.54,-165.97,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,43311,53.84,5.49,-161.79,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,43311,61.13,8.50,-164.73,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,43311,60.47,9.48,-161.74,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,43311,50.09,9.50,-157.68,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,43311,52.23,9.50,-161.54,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,43301,66.95,4.23,-134.56,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,43301,83.74,3.11,-118.66,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,43302,105.58,-0.41,-112.79,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,43302,117.53,-5.73,-137.89,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,43303,142.40,-5.70,-124.81,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,43303,151.24,-5.73,-114.80,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,43303,153.12,-5.73,-114.77,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,43400,177.25,-5.70,-106.50,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,43400,181.63,-5.80,-104.93,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,43400,190.50,-5.77,-112.49,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,43400,191.98,-5.82,-112.33,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,43400,185.90,-5.58,-115.50,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,43400,202.79,-5.56,-118.03,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,43400,202.02,-5.62,-106.79,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,43400,214.15,-4.49,-122.05,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,43400,213.93,-4.49,-120.70,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,43400,221.28,-3.86,-131.75,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,43400,222.72,-4.43,-123.45,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,43410,225.80,-3.54,-128.16,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,43410,232.15,-3.52,-132.31,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,43410,236.51,-3.54,-138.90,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,43410,243.10,-7.17,142.60,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,44400,69.97,-5.57,207.80,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,44400,68.75,-5.48,204.78,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,44400,59.89,-7.80,229.19,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,44400,70.01,-7.73,231.31,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,44400,76.54,-7.75,223.54,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,44400,76.23,-3.25,229.55,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,44400,70.15,-3.33,227.10,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,44400,90.35,-4.18,224.36,0.00,0.00,0.00,,,,
Leon,,,Biorand_BearTrap,44102,-20.00,5.30,77.00,0.00,174.00,0.00,,,,
Leon,,,Biorand_BearTrap,44100,-22.00,4.00,55.00,0.00,-177.00,0.00,,,,
Leon,,,Biorand_BearTrap,44100,-12.00,3.10,42.00,0.00,154.00,0.00,,,,
Leon,,,Biorand_BearTrap,40200,-1.00,0.10,7.00,0.00,28.00,0.00,,,,
Leon,,,Biorand_BearTrap,40200,6.00,1.00,19.00,0.00,95.00,0.00,,,,
Leon,,,Biorand_BearTrap,40200,6.00,1.00,5.00,0.00,35.00,0.00,,,,
Leon,,,Biorand_BearTrap,40211,10.00,1.00,12.00,0.00,93.00,0.00,,,,
