Name1,Name2,English
CH_Mes_Main_Sys_MainMenu_OnlineStore_Requiem_JP,CH_Mes_Main_Sys_MainMenu_OnlineStore_Requiem_NJP,REQUIEM... WILL IT BE GOOD?
,,BIORAND FOR REQUIEM COMMON SOON
,,I'LL BUY IT AT A HIGH PRICE
,,"NOT ENOUGH CASH, STRANGER"
,,CLICK THIS LINK FOR FREE PORSCHE
CH_Mes_Main_Sys_GeneralGuide_OnlineStore_Requiem_JP,CH_Mes_Main_Sys_GeneralGuide_OnlineStore_Requiem_NJP,"Not only will you need cash, you'll need guts to buy this game."
CH_Mes_Main_Sys_MainMenu_OnlineStore,,<COLOR 00FF00>${user.name}</COLOR>
CH_Mes_Main_Sys_PC_MainMenu_Exit,,COME BACK ANY TIME
,,"DON'T GET YOURSELF KILLED NOW, HAHA"
CH_Mes_Main_Sys_MainMenu_Play,,BIORAND [${seed}]
CH_Mes_Main_Sys_GeneralGuide_Play,,${profile.name}
CH_Mes_Main_Sys_GeneralGuide_Play,,WHAT'RE YA BUYIN?
CH_Mes_Main_Sys_GeneralGuide_Play,,WHAT'RE YA SELLIN?
AO_Mes_Main_Sys_Common_Title_0,,BIORAND
AO_Mes_Main_Sys_MainMenu_GameTitle,,BIORAND
CH_Mes_Main_Sys_Common_GameMode_01,AO_Mes_Main_Sys_Common_GameMode_01,EZ
,,SKILLLESS
,,ROOKIE COP
CH_Mes_Main_Sys_Common_GameMode_02,AO_Mes_Main_Sys_Common_GameMode_02,RE4 OG MODE
,,SPEEDRUN
CH_Mes_Main_Sys_Common_GameMode_03,AO_Mes_Main_Sys_Common_GameMode_03,NOT EZ
,,SURVIVOR
CH_Mes_Main_Sys_Common_GameMode_04,AO_Mes_Main_Sys_Common_GameMode_04,7rayD MODE
,,OVERTIME
,,LEON THE PROFESSIONAL
,,INFERNO BUT GOOD
,,MOM PICK ME UP I'M SCARED
,,16 TIMES THE DETAIL
,,SOULS LIKE
,,DA=OFF
CH_Mes_Main_Sys_Common_GameMode_04,,LEON MUST DIE
,,ASHLEY WILL DIE
,AO_Mes_Main_Sys_Common_GameMode_04,ADA MUST DIE
Dev1_Term_GameOver_Title,,1998
,,BLAME ORCA
,,GIT GUD
,,UNINSTALL GAME
,,SNAKE? SNAKE?! 
,,DOOOOOOOOOOOOOOOD DID YOU SEE THAT?! 
,,HIPPITY HOPPITY SKIPPITY BULLSHIT
,,WAS IT ASHLEY? IT WAS ASHLEY WASN'T IT?
,,HI ${user.name}
,,WAS THIS A PERMADEATH RUN? OH DEAR
,,PRESS CONTINUE FOR MORE FUN
,,INSERT 1 COIN TO CONTINUE
,,YOU DIED
,,"HERE LIES LEON S. KENNEDY, DEAD"
,,BLAME ORCA
,,BLAME 7RAYD
,,BLAME KUSKUS
,,THE BOLT THROWER IS A GOOD WEAPON
,,WOW WHAT A DICK
,,DID YOU MEAN TO DO THAT?
,,"DRY YOUR EYES MATE, 
THERE ARE PLENTY MORE FISH IN THE SEEEAAAA"
,,DUCK.
,,LEEEEEEOOOOOOOONNNN
,,ASSHHHHHLEEEEEYYYYY
,,6 7
,,HAVE YOU CONSIDERED GETTING GOOD?
,,THE GAME.
,,ALT+F4
,,PEOPLE DIE WHEN YOU KILL THEM
,,NICE
,,FLASHBANGS STUN ENEMIES
,,SHOOTING ENEMIES WILL KILL THEM
,,TRY HARDER
,,COME ON ${user.name}
,,MISSION FAILED
,,WASTED
,,TRY ASSISTED
,,TRY A NEW SEED
,,"HEY YOU, YOU'RE FINALLY AWAKE"
,,"HERE LIES ${user.name}, DEAD."
,,uWu
,,"DIED, YOU DID"
,,MY NAME A JEFF
,,YOUR RIGHT HAND COMES OFF?
,,(▀̿Ĺ̯▀̿ ̿)
,,乁( ͡° ͜ʖ ͡°)ㄏ
,,HELLO DARKNESS MY OLD FRIEND
,,THAT WAS A BANGER
,,"IT'S OKAY ${user.name}, 
GET UP AND TRY AGAIN!"
,,CALL 1-800-I-AM-DEAD
,,"IN THE WISE WORDS OF BATMAN:
""I'M BATMAN"""
,,"THANK YOU FOR PLAYING
BIORAND"
,,GOODBYE AND THANKS FOR ALL THE FISH
