Name,Id,Category,InputItemId0,InputItemCount0,InputItemId1,InputItemCount1,InputItemId2,InputItemCount2,OutputItemId,OutputItemCount
8 gunpowder + 1 resource (s) = 6 shotgun shells,2,1,117600000,10,117606400,1,,,112803200,6
5 gunpowder + 20 handgun = 20 smg,21,1,117600000,5,112800000,20,,,112806400,20
5 gunpowder + 40 smg = 15 handgun,22,1,117600000,5,112806400,40,,,112800000,15
9 gunpowder + 10 shotgun = 6 rifle,23,1,117600000,7,112803200,9,,,112804800,6
7 gunpowder + 8 rifle = 6 shotgun,24,1,117600000,7,112804800,8,,,112803200,6
10 gunpowder + 40 handgun = 3 magnum,25,1,117600000,10,112800000,40,,,112801600,3
1 resource (s) + 3 hand grenade = 1 heavy grenade,26,2,117606400,1,277075456,3,,,277077056,1
8 gunpowder + 1 resource (s) = 300 flame fuel,27,1,117600000,8,117606400,1,,,112814400,300
7 gunpowder + 1 resource (s) = 2 blast arrows,29,1,117606400,1,117600000,7,,,112480000,2
300 flame fuel + 300 flame fuel = 4 gunpowder,30,2,112814400,300,112814400,300,,,117600000,4
1 resource (s) + 1 resource (s) = 1 resource (l),31,2,117606400,1,117606400,1,,,117601600,1
1 resource (l) + 1 resource (l) = 1 resource (s),32,2,117601600,1,117601600,1,,,117606400,1
