name,,Lucky Number 7,M6C magnum,Dragonstail (SW),Golden Gun,Dragonstail,Auto-9,Golden Gun(SW),Punisher,Punisher MC (SW),XM96E1,Line Gun,Dragonsbreath,Elephantgun,Super Shotgun,Sawed-off W870 (SW),Spitfire,Spitfire (SW),LE5,Chicago Sweeper,Chicago Sweeper (SW),Dragonlore,SR M1093 (SW),7StingrayD,Stingray (SW),CQBR Assault,Dragonfly,Dirty Harry,The .45 longslide with laser sighting,Flamethrower
weight,,1,,,1,1,1,,,,,1,,,,,,,,,,,,,,,,,,
description,,"Feeling Lucky? Do you love to Gamble? 
This is your moment to Shine.",,,"Deadly signature weapon of the notorious assassin.
With Enough Investment you can modify the gun to 
hold enough ammo for 5 shots.",,"Gun of the Cybernetically enhanced officer 
of the Detroit Police Department.
""Dead or alive you're coming with me""","Deadly signature weapon of the notorious assassin.
With Enough Investment you can modify the gun to 
hold enough ammo for 5 shots.",,,,"Mining tool used in Space.
Great at clearing out large 
crowds of Necromor... Ganados.",,,Ancient Relic of the Doom Slayer. Rip and tear until it is done.,,,,,,,,,,,,,,,"Uses pressurized gas to produce intense flames.
Just like that night in the jungle..."
perk,,"- 50/50 Chance of Each Shot Stunning
Or Dealing Damage",,"- Gun modified to set enemies on fire.
- High Critical Hit Chance, 
But Less Damage than Normal","- Single shot Golden Gun. 
- Uses 2 bullets per shot.","- Gun modified to set enemies on fire.
- High Critical Hit Chance, But Less Damage than Normal","- High Rate of Fire Pistol using SMG Ammunition
- Capable of Full Automatic Fire with Stock","-Single shot Golden Gun. 
-Uses 2 bullets per shot.",,,,Shoots Pellets in vertical Line,Shots cause enemies set aflame,Shoots Slug Rounds With Destructive Power,Uses 2 Shells Per Shot,,,,,,,Shots cause enemies set aflame,,,,,,,,perk
exclusive description,1,Gamble Your Shots 7 Times Faster,,Set Enemies aflame even Faster,Learn how to Insert 5 Bullets into the magazine,Set Enemies aflame even Faster,,Learn how to Insert 5 Bullets into the magazine,,,,Power output tweaks increasing overall damage.,,,,,,,,,,,,,,,,,,
exclusive perk,1,Rate Of Fire 7x,,Critical Hit Rate 2x,Ammo Capacity 5x,Critical Hit Rate 2x,,Ammo Capacity 5x,,,,Damage 1.5X,,,,,,,,,,,,,,,,,,
exclusive description,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exclusive perk,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,,4000,,6103,4002,4003,4004,6113,,,,4101,4102,4100,6001,,4200,6104,,,,4400,,,,,,,,4701
itemid,,274835456,,278200256,274838656,274840256,274841856,278216256,,,,274997056,274998656,274995456,278037056,,275155456,278201856,,,,275475456,,,,,,,,275957056
price,,15000,,15000,15000,15000,15000,15000,,,,30000,30000,30000,30000,,20000,20000,,,,30000,,,,,,,,30000
damage,level 1,3.33,,1.40,3.00,1.40,0.77,2.00,,,,6.40,6.40,6.40,6.00,,0.55,0.55,,,,2.50,,,,,,,,0.40
damage,level 2,4.44,,1.75,3.50,1.75,0.88,2.50,,,,9.15,8.40,9.15,8.00,,0.70,0.70,,,,3.50,,,,,,,,0.50
damage,level 3,5.55,,2.1,4.00,2.1,0.99,3.00,,,,11.90,10.40,11.90,10.00,,0.90,0.90,,,,4.50,,,,,,,,0.60
damage,level 4,6.66,,2.45,4.50,2.45,1.11,3.50,,,,14.65,12.40,14.65,12.00,,1.05,1.05,,,,5.50,,,,,,,,0.70
damage,level 5,7.77,,2.8,5.00,2.8,1.55,4.00,,,,17.4,14.6,17.4,14.00,,1.25,1.25,,,,6.50,,,,,,,,0.90
wince,level 1,1.00,,1.00,1.00,1.00,1.00,1.00,,,,1.00,1.00,1.00,1.00,,1.00,1.00,,,,1.00,,,,,,,,1.00
